Interval: S1 - S2,delta S (degC),delta CP (kW / degC),delta H (kW),
1: 625.0 - 624.999892,0.00010799999995469989,-29.584853,-0.003195164122659803,Deficit
2: 624.999892 - 615.0,9.999892000000045,-255.95931000000002,-2559.565456394532,Deficit
3: 615.0 - 155.0,460.0,-131.95931000000002,-60701.282600000006,Deficit
4: 155.0 - 145.0,10.0,-516.454571,-5164.54571,Deficit
5: 145.0 - 129.85026299999998,15.149737000000016,-376.599176,-5705.378470816718,Deficit
6: 129.85026299999998 - 105.0,24.850262999999984,-150.224719,-3733.1237762510946,Deficit
7: 105.0 - 101.018129,3.981870999999998,-349.909852,-1393.2958922930914,Deficit
8: 101.018129 - 98.790304,2.2278249999999957,-459.881308,-1024.535074995098,Deficit
9: 98.790304 - 91.189753,7.60055100000001,-284.428036,-2161.809793447839,Deficit
10: 91.189753 - 85.0,6.189752999999996,-99.51281000000003,-615.9597142359298,Deficit
11: 85.0 - 75.0,10.0,-417.529033,-4175.29033,Deficit
12: 75.0 - 66.79628600000001,8.20371399999999,-602.444259,-4942.280401777921,Deficit
13: 66.79628600000001 - 61.389812,5.40647400000001,-427.408235,-2310.7715099133943,Deficit
14: 61.389812 - 29.999994,31.389817999999998,-317.436779,-9964.282719316221,Deficit
15: 29.999994 - 25.0,4.999994000000001,-288.044665,-1440.2215967320103,Deficit
16: 25.0 - 20.741638000000002,4.258361999999998,-29.68526300000002,-126.41059591920603,Deficit
17: 20.741638000000002 - 20.0,0.7416380000000018,113.29493599999998,84.02382974516819,Surplus
18: 20.0 - 18.100976,1.8990240000000007,122.83649,233.2694425857601,Surplus
19: 18.100976 - 5.547123,12.553853,-26.56045900000001,-333.4360978985271,Deficit
20: 5.547123 - -3.0,8.547123,124.0,1059.843252,Surplus
